payee_name,maker,fiscal_year,spend,checks
DELL MARKETING LP,Broadcom/Symantec/CA,2023,3816039.68,1
CDW GOVERNMENT LLC,Axis Communications,2025,3711066.19,14
SHI INTERNATIONAL CORP,Veracode,2025,3708502.2,2
DELL MARKETING LP,Dell/EMC,2024,3703798.61,50
SHI INTERNATIONAL CORP,Software AG,2024,3699724.44,16
SHI INTERNATIONAL CORP,Veritas,2021,3606556.71,10
CDW GOVERNMENT LLC,Multiple makers,2018,3580704.08,30
CDW GOVERNMENT LLC,Cisco,2016,3569815.99,24
CDW GOVERNMENT LLC,Esri,2026,3536898.55,33
CDW GOVERNMENT LLC,Proofpoint,2024,3534723.6,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2017,3512569.3,70
WORLD WIDE TECHNOLOGY LLC,Multiple makers,2024,3502978.29,12
CDW GOVERNMENT LLC,Autodesk,2026,3455812.51,43
WORLD WIDE TECHNOLOGY LLC,NetApp,2025,3432521.5700000003,17
CDW GOVERNMENT LLC,Cisco,2017,3417612.77,33
SHI INTERNATIONAL CORP,BlueCrest,2024,3417009.27,17
DELL MARKETING LP,Broadcom/Symantec/CA,2022,3402051.31,3
CDW GOVERNMENT LLC,Google,2020,3400000.0,2
SHI INTERNATIONAL CORP,Adobe,2024,3397834.51,78
CDW GOVERNMENT LLC,ScienceLogic,2024,3380011.8,3
CDW GOVERNMENT LLC,Esri,2025,3371757.6,23
SHI INTERNATIONAL CORP,Veritas,2023,3365511.16,14
CARAHSOFT TECHNOLOGY CORP,Unattributed,2018,3288688.75,98
SHI INTERNATIONAL CORP,Veritas,2022,3256474.36,12
SHI INTERNATIONAL CORP,Lenovo,2021,3221447.0,5
WORLD WIDE TECHNOLOGY LLC,AWS,2024,3215525.91,130
SHI INTERNATIONAL CORP,Synack,2026,3212913.0,1
SHI INTERNATIONAL CORP,Netscout,2025,3195044.46,13
SHI INTERNATIONAL CORP,Microsoft,2024,3194529.05,8
SHI INTERNATIONAL CORP,Google,2025,3180194.1,6
CDW GOVERNMENT LLC,HP/HPE,2021,3141182.95,55
CDW GOVERNMENT LLC,Splunk,2026,3128909.54,15
CDW GOVERNMENT LLC,Arista,2023,3116084.69,5
SHI INTERNATIONAL CORP,Synack,2025,3107763.12,1
SHI INTERNATIONAL CORP,Citrix,2025,3106156.04,12
CDW GOVERNMENT LLC,ScienceLogic,2025,3101325.2,2
CDW GOVERNMENT LLC,ScienceLogic,2023,3098768.55,4
SHI INTERNATIONAL CORP,Microsoft,2021,3056987.37,26
CDW GOVERNMENT LLC,Avaya,2022,3054479.65,38
SHI INTERNATIONAL CORP,HP/HPE,2024,3053828.73,33
SHI INTERNATIONAL CORP,BMC,2026,3052059.67,7
DELL MARKETING LP,Broadcom/Symantec/CA,2019,3043740.58,4
CDW GOVERNMENT LLC,Proofpoint,2025,3037782.0,2
CDW GOVERNMENT LLC,Proofpoint,2026,3037470.0,2
SHI INTERNATIONAL CORP,Red Hat,2020,3028602.17,10
DELL MARKETING LP,Broadcom/Symantec/CA,2020,3027534.0,2
CDW GOVERNMENT LLC,Oracle,2020,3017825.0700000003,17
DELL MARKETING LP,Broadcom/Symantec/CA,2018,3004028.0,2
CDW GOVERNMENT LLC,Splunk,2023,3000711.34,11
DELL MARKETING LP,Microsoft,2024,2955505.77,48
SHI INTERNATIONAL CORP,Veracode,2026,2950559.88,1
SHI INTERNATIONAL CORP,Veritas,2024,2926100.9099999997,10
SHI INTERNATIONAL CORP,Netscout,2024,2918351.94,10
SHI INTERNATIONAL CORP,Veracode,2024,2901002.91,2
CDW GOVERNMENT LLC,Rapid7,2025,2876782.9,2
CDW GOVERNMENT LLC,NetApp,2023,2876356.85,6
